filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
split1_0010.JPG,957332,"{}",8,0,"{""name"":""polygon"",""all_points_x"":[5,808,12],""all_points_y"":[860,15,18]}","{}"
split1_0010.JPG,957332,"{}",8,1,"{""name"":""polygon"",""all_points_x"":[345,527,742],""all_points_y"":[1280,1111,1282]}","{}"
split1_0010.JPG,957332,"{}",8,2,"{""name"":""polygon"",""all_points_x"":[568,719,1128,808],""all_points_y"":[1083,939,1260,1280]}","{}"
split1_0010.JPG,957332,"{}",8,3,"{""name"":""polygon"",""all_points_x"":[906,1073,1272,1385,1323],""all_points_y"":[664,504,803,926,992]}","{}"
split1_0010.JPG,957332,"{}",8,4,"{""name"":""polygon"",""all_points_x"":[762,904,1307,1202],""all_points_y"":[878,699,1058,1241]}","{}"
split1_0010.JPG,957332,"{}",8,5,"{""name"":""polygon"",""all_points_x"":[1588,1313,1587],""all_points_y"":[964,1289,1292]}","{}"
split1_0010.JPG,957332,"{}",8,6,"{""name"":""polygon"",""all_points_x"":[1279,1390,1585,1582],""all_points_y"":[253,109,270,515]}","{}"
split1_0010.JPG,957332,"{}",8,7,"{""name"":""polygon"",""all_points_x"":[1428,1481,1587,1587],""all_points_y"":[70,5,2,202]}","{}"
split1_0020.JPG,959469,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[8,1078,2],""all_points_y"":[1209,2,3]}","{}"
split1_0020.JPG,959469,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[1529,1403,1590,1597],""all_points_y"":[285,434,608,348]}","{}"
split1_0020.JPG,959469,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[891,919,1077,1183,1133],""all_points_y"":[1067,999,977,1138,1229]}","{}"
split1_0020.JPG,959469,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[858,749,865,1047],""all_points_y"":[1103,1234,1262,1264]}","{}"
split1_0020.JPG,959469,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[1378,1257,1534,1590,1590],""all_points_y"":[472,634,888,818,648]}","{}"
split1_0030.JPG,930188,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[1297,378,2,7],""all_points_y"":[38,1282,1294,5]}","{}"
split1_0030.JPG,930188,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[1403,1539,1593,1595],""all_points_y"":[798,619,659,962]}","{}"
split1_0040.JPG,966578,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[800,1328,676,7,7],""all_points_y"":[5,407,1290,1290,17]}","{}"
split1_0040.JPG,966578,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[909,1138,1259],""all_points_y"":[10,159,5]}","{}"
split1_0040.JPG,966578,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[1184,1322,1361,1595,1593,1405],""all_points_y"":[187,33,2,8,194,361]}","{}"
split1_0040.JPG,966578,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[1562,1423,1583,1595],""all_points_y"":[979,1159,1259,989]}","{}"
split1_0040.JPG,966578,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[1393,1337,1537],""all_points_y"":[1201,1285,1292]}","{}"
split1_0050.JPG,966043,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[280,1340,959,5,7],""all_points_y"":[7,792,1290,1287,7]}","{}"
split1_0050.JPG,966043,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[422,649,818],""all_points_y"":[3,161,2]}","{}"
split1_0050.JPG,966043,"{}",4,2,"{""name"":""polygon"",""all_points_x"":[716,896,1527,1164],""all_points_y"":[204,3,7,504]}","{}"
split1_0050.JPG,966043,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[1207,1590,1587,1438],""all_points_y"":[550,22,555,709]}","{}"
split1_0060.JPG,953552,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[31,214,383],""all_points_y"":[18,144,2]}","{}"
split1_0060.JPG,953552,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[292,684,1105,487],""all_points_y"":[210,499,5,7]}","{}"
